Repositório,Estrelas,Data do Último Commit,AXE em Workflow,Pa11y em Workflow,Wave em Workflow,Asqata-sun em Workflow,HTML_CodeSniffer em Workflow,Equal Access em Workflow,AXE em Dependência,Pa11y em Dependência,Wave em Dependência,Asqata-sun em Dependência,HTML_CodeSniffer em Dependência,Equal Access em Dependência
crafjerx2/apply-digital-automation,0,30/09/2024,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
wavetermdev/waveterm,11176,07/09/2025,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao
coding-horror/basic-computer-games,11009,20/07/2025,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao
katspaugh/wavesurfer.js,9658,30/08/2025,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao
risingwavelabs/risingwave,8312,07/09/2025,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao
fossasia/pslab-app,2085,05/09/2025,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao
zwave-js/zwave-js-ui,1110,03/09/2025,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao
EasyRPG/Player,1104,31/07/2025,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao
wavedrom/wavedrom.github.io,1026,29/01/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao
sdobreff/vscode-php-resolver,25,13/02/2025,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao
aught13/racerhistory,1,07/09/2025,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao
bbc/simorgh,1624,05/09/2025,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao
adrianhajdin/brainwave,1830,29/10/2024,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao
